stimuli_1,block1_resp.keys,correct_resp1,block1_resp.corr,block1_resp.rt,stimuli_2,block2_resp.keys,correct_resp2,block2_resp.corr,block2_resp.rt,stimuli_4,correct_resp4,block4_resp.keys,block4_resp.corr,block4_resp.rt,stimuli_5_reversed,block5_resp.keys,correct_resp5,block5_resp.corr,block5_resp.rt
L_b.bmp,None,None,1.0,,L_g.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_b.bmp,n,None,0,0.1880051000043749
L_q.bmp,None,None,1.0,,L_h.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_j.bmp,None,None,1,
L_q.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_q.bmp,None,None,1.0,,L_m.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_c.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_d.bmp,None,None,1,
L_j.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_j.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_r.bmp,None,n,0,
L_b.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_c.bmp,n,None,0,0.1886195000261068
L_w.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_p.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_v.bmp,None,None,1.0,,L_b.bmp,None,None,1.0,,L_g.bmp,None,None,1,
L_n.bmp,None,None,1.0,,L_p.bmp,None,None,1.0,,L_n.bmp,None,None,1.0,,L_h.bmp,None,None,1,
L_f.bmp,None,None,1.0,,L_r.bmp,None,None,1.0,,L_f.bmp,None,None,1.0,,L_g.bmp,None,None,1,
L_m.bmp,None,None,1.0,,L_l.bmp,None,None,1.0,,L_m.bmp,None,None,1.0,,L_t.bmp,None,n,0,
